City,Latitude,Longitude,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Denpasar,-8.65,115.22,ID,1595283112,78.8,88,75,13.87
Sola,-13.88,167.55,VU,1595283510,80.6,69,75,5.82
Saint Paul Harbor,57.79,-152.41,US,1595283024,73.4,46,1,14.99
Pervomayskoye,43.92,46.71,RU,1595283510,76.82,77,2,3.85
Chui,-33.7,-53.46,UY,1595283313,68.16,84,100,8.52
San Patricio,19.22,-104.7,MX,1595283310,87.8,74,40,17.22
Albany,42.6,-73.97,US,1595283304,90.0,43,82,10.02
Punta Arenas,-53.15,-70.92,CL,1595283098,32.0,95,90,5.82
Biłgoraj,50.54,22.72,PL,1595283511,64.99,90,95,9.69
Rikitea,-23.12,-134.97,PF,1595283306,68.23,59,92,12.44
Castro,-24.79,-50.01,BR,1595283327,57.24,84,0,4.21
Cidreira,-30.18,-50.21,BR,1595283315,67.42,76,72,6.55
Nuuk,64.18,-51.72,GL,1595283109,50.0,81,100,3.36
Richards Bay,-28.78,32.04,ZA,1595283070,59.85,81,0,8.63
Tezu,27.92,96.17,IN,1595283512,74.86,87,100,3.04
George Town,5.41,100.34,MY,1595283192,77.0,94,20,2.24
Yellowknife,62.46,-114.35,CA,1595283309,75.99,47,40,8.05
San Rafael,-34.62,-68.33,AR,1595283513,50.02,64,93,10.16
Bambous Virieux,-20.34,57.76,MU,1595283320,69.01,72,75,9.17
Vaini,-21.2,-175.2,TO,1595283051,73.4,73,20,4.7
Ponta do Sol,32.67,-17.1,PT,1595283307,71.6,64,20,8.05
Ushuaia,-54.8,-68.3,AR,1595283053,32.0,86,3,3.36
Kaitangata,-46.28,169.85,NZ,1595283322,53.01,64,100,1.99
Davila,18.47,120.58,PH,1595283514,77.0,94,20,2.24
Presidente Dutra,-5.29,-44.49,BR,1595283514,79.66,51,6,2.51
Provideniya,64.38,-173.3,RU,1595283348,50.0,81,75,8.95
Port Alfred,-33.59,26.89,ZA,1595283312,59.05,66,0,6.53
Fairbanks,64.84,-147.72,US,1595283429,69.01,64,75,9.17
Knysna,-34.04,23.05,ZA,1595283347,57.2,87,36,10.29
Porangatu,-13.44,-49.15,BR,1595283395,73.92,35,19,2.77
Tura,25.52,90.22,IN,1595283325,74.08,98,100,4.76
Cape Town,-33.93,18.42,ZA,1595283046,52.0,93,0,2.24
Barrow,71.29,-156.79,US,1595283324,35.6,80,75,6.93
New Norfolk,-42.78,147.06,AU,1595283314,48.99,90,88,1.99
East London,-33.02,27.91,ZA,1595283354,64.04,41,0,5.93
Bredasdorp,-34.53,20.04,ZA,1595283354,60.8,87,7,6.93
Grindavik,63.84,-22.43,IS,1595283385,50.0,76,40,3.36
